node1,node2,count,color,strength
9863,G43.909,1306,red,26.12
9863,R10.9,1344,red,26.88
401.9,I10,1731,blue,34.62
786.50,R05,1299,blue,25.98
729.5,784.0,1312,blue,26.24
784.0,R10.9,1336,blue,26.72
784.0,786.2,1491,blue,29.82
784.0,R05,1651,blue,33.02
784.0,G43.909,1301,blue,26.02
R10.9,R51,1492,blue,29.84
R06.02,R51,1250,blue,25.0
R07.9,R51,1325,blue,26.5
R05,R51,1855,blue,37.1
729.5,R51,1327,blue,26.54
G43.909,R51,1525,blue,30.5
M54.5,R51,1288,blue,25.76
786.2,R51,1524,blue,30.48
R05,R06.02,1466,blue,29.32
R05,R07.9,1419,blue,28.38
R05,R53.83,1578,blue,31.56
786.2,R53.83,1305,blue,26.1
