C0018923,Hemangiosarcoma
C0854893,Angiosarcoma non-metastatic
C0033999,Pterygium
C0025517,Metabolic Diseases
C0155862,Streptococcal pneumonia
C0243026,Sepsis
C1697878,BK virus nephropathy
C2609129,Autoimmune pancreatitis
C0409675,Juvenile ankylosing spondylitis
C1328843,Autoimmune vasculitis
C0019343,Pemphigoid Gestationis
C0162819,"Skin Diseases, Vascular"
C0343081,Livedoid vasculitis
C0854359,Insulin autoimmune syndrome
C0008055,Chikungunya Fever
C0035793,Rocky Mountain Spotted Fever
C0268095,Keshan disease
C0276379,La Crosse Encephalitis
C0272199,Familial Hemophagocytic Lymphocytosis
C0024291,"Lymphohistiocytosis, Hemophagocytic"
C3887558,Hemophagocytic Syndrome
C0037199,Sinusitis
C0040247,Tinea
C0011630,Dermatomycoses
C0011636,Dermatophytosis
C0013882,Elephantiasis
C0022521,Kartagener Syndrome
C4551906,"Ciliary Dyskinesia, Primary, 1, With Or Without Situs Inversus"
C0396023,Chronic adenoiditis
C0023076,Laryngotracheitis
C0032290,Aspiration Pneumonia
C1761609,Aspiration pneumonitis
C4721509,Usual Interstitial Pneumonia
C3812396,Chronic idiopathic pulmonary fibrosis
C1800706,Idiopathic Pulmonary Fibrosis
C4721508,Hamman-Rich Disease
C4721952,Familial Idiopathic Pulmonary Fibrosis
C0085786,Hamman-Rich syndrome
C0242770,Bronchiolitis Obliterans Organizing Pneumonia
C0238378,Desquamative interstitial pneumonia
C1855868,"Polyglandular Deficiency Syndrome, Persian-Jewish Type"
C0085859,Polyglandular Type I Autoimmune Syndrome
C1855869,"Autoimmune Polyendocrinopathy Syndrome, Type I, Autosomal Dominant"
C0085860,"Autoimmune Syndrome Type II, Polyglandular"
C0024137,"Lupus Erythematosus, Cutaneous"
C0014061,Tick-Borne Encephalitis
C0014742,Erythema Multiforme
C0022972,Lambert-Eaton Myasthenic Syndrome
C0300934,Primary Amebic Meningoencephalitis
C0392662,Angiostrongyliasis
C0277356,Tunga penetrans infestation
C0276758,Fusariosis
C0003078,Aniseikonia
C0342151,Congenital hypothyroidism without goiter
C0749420,Thyroid Agenesis
C0342200,Endemic Cretinism
C0349476,Congenital goiter
C0342154,Congenital atrophy of thyroid
C0010308,Congenital Hypothyroidism
C0265269,Lacrimoauriculodentodigital syndrome
